date,AETEC_xgboost_forecast,AMV_xgboost_forecast,ARTES_xgboost_forecast,BHL_xgboost_forecast,BH_xgboost_forecast,BNA_xgboost_forecast,BS_xgboost_forecast,BTEI_xgboost_forecast,CC_xgboost_forecast,CELL_xgboost_forecast,CIL_xgboost_forecast,CITY_xgboost_forecast,DH_xgboost_forecast,ECYCL_xgboost_forecast,GIF_xgboost_forecast,HANL_xgboost_forecast,ICF_xgboost_forecast,LNDOR_xgboost_forecast,LSTR_xgboost_forecast,MIP_xgboost_forecast,MNP_xgboost_forecast,MPBS_xgboost_forecast,NAKL_xgboost_forecast,NBL_xgboost_forecast,OTH_xgboost_forecast,PLAST_xgboost_forecast,SAH_xgboost_forecast,SAMAA_xgboost_forecast,SERVI_xgboost_forecast,SIPHA_xgboost_forecast,SITS_xgboost_forecast,SMD_xgboost_forecast,SOPAT_xgboost_forecast,SOTE_xgboost_forecast,SPDI_xgboost_forecast,STAR_xgboost_forecast,STIP_xgboost_forecast,STVR_xgboost_forecast,TINV_xgboost_forecast,TJL_xgboost_forecast,TLNET_xgboost_forecast,TLS_xgboost_forecast,TRE_xgboost_forecast,UMED_xgboost_forecast,WIFAK_xgboost_forecast
36,-0.0032434207,-0.0014818556,-0.0010348061,-0.00844061,0.0056059156,0.010052877,0.006436952,-0.01977766,0.0014983582,-0.0068563307,-0.0038687417,-0.00030086318,-0.0006381164,-0.008272555,-0.0057294723,0.00080833887,-0.0058686915,-0.0025938551,-0.017945321,-0.02346829,0.0051133367,-0.0049281963,-0.00045429266,-0.0006229956,0.0047144913,0.0012768824,0.00088336697,-0.012158667,0.0250588,0.03318693,-9.6836084e-05,0.020614775,-0.028708665,0.050295696,0.0036494264,0.010575526,0.041243695,0.016134858,0.012169092,0.01530566,-0.0022319984,0.0047880393,0.008992322,-0.006224889,0.0040456597
37,-0.0032434207,-0.0028019652,0.0053983214,-0.0033587525,-0.007063031,0.0026707582,0.008638933,0.028169973,0.0019017009,-0.0076891747,0.07782181,0.0009659099,-0.005500644,-0.005510669,-0.0057294723,-0.0004566914,-0.008774669,0.00433835,0.03907602,-0.02346829,-0.0018577086,0.0054301647,-1.7954688e-05,-0.0018540114,0.01330262,-0.0062152706,-0.0038106113,0.012968703,-0.0030558545,0.023399794,0.0019601388,-0.020943101,0.0024087098,0.004904143,0.00018081635,-0.00053637417,0.005518772,0.008883093,-0.0053153858,-0.0049600587,1.6827626e-05,0.0019715799,0.0070223603,0.0011867211,-6.136866e-05
38,-0.0032434207,-0.0014226488,-0.0022495668,0.010368043,0.010985238,0.0071065575,-0.008306216,-0.0126143275,-0.0013691586,0.0048280894,-0.015505408,0.0010697002,-0.0039514415,-0.006575977,-0.0057294723,0.00080833887,-0.0066643823,-0.0020669769,-0.010232149,-0.03781086,-0.00035845235,0.00074420235,5.315644e-05,0.0015025757,-0.003785003,-0.004883793,-0.0032830215,-0.019169772,-0.0011503947,0.01890686,-0.00036102528,0.009782453,-0.0019541378,-0.0044967965,-0.0016650232,0.0035113655,0.09133687,-0.0020989832,-0.033889763,-0.008809358,-0.0055955807,-0.010045561,0.006123118,-0.0067705777,-0.013920769
39,-0.0032434207,-0.0014818556,0.0009973829,0.010236571,-0.008484655,0.02035787,-0.0054501314,-0.010456763,-0.0017725013,-0.011074105,0.009998112,0.024286509,-0.0010592577,-0.002400716,-0.0057294723,-0.0004566914,-0.016617144,-0.015122891,-0.01084292,-0.0404122,-0.0048451307,-0.0045803515,5.315644e-05,-0.0075561227,4.7241952e-05,0.013666989,0.0018412262,0.0062988442,0.00068529294,0.0247463,-9.6836084e-05,0.016608553,0.0113898255,-0.0069050435,0.022515161,-0.0074595353,0.014846246,0.010683171,0.11780079,0.006168969,-0.008550565,0.021484258,0.002718022,0.0117291035,0.016250342
40,-0.0032434207,-0.0028019652,-0.00013194986,-0.013425466,0.0065928544,0.0073749507,0.003482808,-0.032632846,0.0014983582,0.015662054,0.0022006796,-0.0010847915,-0.00028777577,0.0018314283,-0.0057294723,0.00080833887,0.0038886925,-0.004167486,-0.048133373,-0.0404122,-0.011056153,0.008433039,-0.00038318156,0.0071452623,-0.0076494017,-0.008900157,0.004219899,0.0014111337,-0.006475593,0.024571754,0.0019601388,0.0106966775,0.004281005,-0.011576184,0.0015431873,0.001366476,0.15855932,-0.0047458727,-0.017957479,0.0056939353,-0.000401703,0.0037017826,0.0030269918,0.0075724972,0.0013570193
41,-0.0032434207,-0.0014226488,-0.003438029,-0.031182876,0.0012329797,-0.007880794,0.0010681854,-0.018826606,0.0019017009,0.0069638686,-0.008432995,0.004045455,-0.00074187433,0.008571383,-0.0057294723,-0.0004566914,-0.004444357,0.004206448,-0.052489333,-0.029962927,0.0011250173,0.0032303643,-0.00045429266,0.002515096,-0.0006382033,0.007145695,-0.005540902,-0.015397735,0.00047205118,0.012419372,-0.00036102528,-0.011452871,0.00034300826,-0.0043113376,0.0024484494,-0.00021501003,-0.038409878,0.016581109,-0.015864376,-0.0028940914,0.004168766,0.00088574784,-0.014104961,-0.0016925002,0.0031341987
42,-0.0032434207,-0.0014818556,0.002425013,-0.015840614,-0.0041660294,-0.028166046,-0.0036120694,-0.037789024,-0.0013691586,0.009428898,-0.00087669236,-0.0055579683,0.003952514,-0.008001597,-0.0057294723,0.00080833887,-0.006189225,-0.0007286972,-0.040032893,-0.02130763,-0.013386862,-0.0055572297,-1.7954688e-05,0.005799216,-0.0033766516,-0.015471639,-0.0001208858,-0.016931063,0.0032359755,0.03865203,-9.6836084e-05,0.084725566,0.005215688,-0.0020278809,-0.0036158743,0.003095247,-0.021358062,0.0029498476,-0.016572053,0.0025522893,-0.0014782179,-0.0075237374,-0.024574809,0.006596785,0.0031734237
43,-0.0032434207,-0.0028019652,0.0017033408,-0.0026038708,-0.0036943327,-0.011895027,0.00042315986,-0.008827349,-0.0017725013,-0.022503417,0.0061897356,0.0024349203,-0.008694945,-0.0009916606,-0.0057294723,-0.0004566914,0.0009376647,-0.0022400545,-0.008702922,-0.02346829,-0.014992731,0.012380702,5.315644e-05,0.002829785,0.0016729177,-0.0076704198,-0.00893377,0.008600166,-0.0080323545,0.022041168,0.0019601388,0.05219614,0.008702984,-0.0078111943,0.006533937,-0.0063184877,0.011432604,0.004369325,-0.016211972,-0.020297611,0.008754146,-0.013519651,-0.04889123,0.0017440831,0.0012753997
44,-0.0032434207,-0.0014226488,-0.004189334,0.0022656366,-0.0011631385,0.013152239,0.0024691827,-0.014063511,0.0014983582,0.009908177,-0.002845661,-0.011368326,-0.00014259636,-0.00078719895,-0.0057294723,0.00080833887,0.0065552546,0.0039828443,-0.012009956,-0.02346829,0.006849058,0.009452513,5.315644e-05,-0.020045718,-0.004301713,-0.027155481,-0.0029586721,0.0034861781,0.0076764813,0.01062599,-0.00036102528,0.026771523,-0.0019433285,-0.00022617001,0.0040648533,-0.004052923,0.015601228,0.0010048054,0.0057264366,0.016307488,-0.001271802,-0.00061051256,0.013756701,0.0010200688,-0.0029833051
45,-0.0032434207,-0.0014818556,-0.0039320067,0.0069310223,0.0128617855,-0.012517191,0.004015971,0.032483377,0.0019017009,0.0067186463,0.00018896906,-0.00735866,0.002886726,0.00995739,-0.0057294723,-0.0004566914,0.004804679,0.00038125506,-0.013610378,-0.03781086,-0.0019638804,0.011202074,-0.00038318156,0.00237996,-0.00010203976,-0.023825034,-0.0020159886,-0.0074192556,-0.0041998406,0.027625985,-9.6836084e-05,-0.018414887,0.013058584,-0.007692966,0.0018986333,-0.010368638,-0.015760563,0.0034356064,-0.005545188,-0.00939264,-0.002508268,-0.0014374863,-0.0011640715,-0.0043477267,0.024086073
