date,AETEC_xgboost_forecast,AMV_xgboost_forecast,ARTES_xgboost_forecast,MEDIN_xgboost_forecast,HANL_xgboost_forecast,CC_xgboost_forecast,CELL_xgboost_forecast,CIL_xgboost_forecast,CITY_xgboost_forecast,DH_xgboost_forecast,ECYCL_xgboost_forecast,GIF_xgboost_forecast,HANL_xgboost_forecast,ICF_xgboost_forecast,LNDOR_xgboost_forecast,LSTR_xgboost_forecast,MIP_xgboost_forecast,MNP_xgboost_forecast,MPBS_xgboost_forecast,NAKL_xgboost_forecast,NBL_xgboost_forecast,OTH_xgboost_forecast,PLAST_xgboost_forecast,SAH_xgboost_forecast,SAMAA_xgboost_forecast,SERVI_xgboost_forecast,SIPHA_xgboost_forecast,SITS_xgboost_forecast,SMD_xgboost_forecast,SOPAT_xgboost_forecast,SOTE_xgboost_forecast,SPDI_xgboost_forecast,STAR_xgboost_forecast,STIP_xgboost_forecast,STVR_xgboost_forecast,TINV_xgboost_forecast,TJL_xgboost_forecast,TLNET_xgboost_forecast,TLS_xgboost_forecast,TRE_xgboost_forecast,UMED_xgboost_forecast,WIFAK_xgboost_forecast
20,-0.003243421,-0.001422649,-0.024378816,-0.034784473,0.005734607,0.001498358,0.002575241,0.00894268,-0.005522525,1.1976929e-05,0.006516195,-0.005729472,0.000808339,-0.002123726,-0.019496452,0.006885162,-0.07547546,-0.013021488,0.013348899,-0.000383182,-0.000378483,-0.002004114,0.00733413,-0.000747547,0.006207856,0.001133581,0.001232534,0.02941822,0.053586148,0.006837295,-0.009310317,0.025126725,-0.011095818,0.000632741,0.000977705,-0.017261956,-0.003476938,0.012080835,0.004246933,0.003476412,-0.0159175,-0.010001654
21,-0.003243421,-0.001481856,0.008311297,0.013519444,-0.006416313,0.001901701,0.003683117,0.048738483,0.001563059,-0.00441113,0.010729119,-0.005729472,-0.000456691,-9.54E-05,-0.016748607,0.054324742,0.003046847,0.002000202,0.00088322,-0.000454293,-0.001158738,-0.000922322,0.008065867,-0.002900506,-0.003872094,0.000414298,0.023508484,-0.040563885,0.018004917,0.000841982,-0.010991694,0.026702505,0.003619881,0.028864516,0.006228784,0.01225608,0.001463546,-0.004148146,-0.002448328,-0.009895643,-0.002417665,0.014608094
22,-0.003243421,-0.002801965,-0.001131016,0.024237037,0.005318677,-0.001369159,-0.002824456,0.008003911,-0.000349714,0.005623205,0.001736129,-0.005729472,0.000808339,0.002678393,0.001730974,-0.018477825,0.028167753,-0.004847053,-0.011416086,-1.80E-05,0.012970704,-0.007588022,-0.005480296,0.000259032,0.008524065,0.001082499,0.004488949,-0.004832496,0.005735144,0.000452573,0.002159668,-0.011880556,0.006771656,0.012801141,-0.007576692,-0.02094965,-0.010233215,-0.000249037,-0.005923379,0.006184237,-0.003175204,0.006751327
23,-0.003243421,-0.001422649,-0.007629784,0.01139169,-0.005297805,-0.001772501,-0.002856379,0.044300452,-0.021302935,0.000715935,-0.001292304,-0.005729472,-0.000456691,-0.003039425,0.013371343,-0.031685006,-0.14319196,-0.003704544,-0.018807769,5.315644e-05,0.005548035,0.002688575,-0.016283844,-0.006915853,0.001240308,-0.006374099,0.021183254,0.006852552,0.015838536,-0.002345644,-0.006638219,-0.002699715,0.008996231,0.019227507,0.021537961,-0.009299859,-0.002692006,-0.003952695,0.002815555,0.005997879,0.004181482,0.005553845
24,-0.003243421,-0.001481856,0.003997408,0.019092586,-0.010312376,0.001498358,-0.027846778,-0.00401993,-0.019722028,-0.000343477,0.00834273,-0.005729472,0.000808339,-0.003505021,0.003956538,-0.00299069,-0.002492238,0.001576183,-0.00979556,5.315644e-05,0.008200089,-0.002054292,0.007937086,-0.005323493,-0.009741333,0.003404327,0.002982691,0.003414366,0.005199574,0.002662144,-0.00175394,0.002318438,-0.009534888,0.017675914,0.000625933,0.009208844,-0.011069327,0.000626226,-0.001472128,0.013641331,0.002746856,0.005743503
25,-0.003243421,-0.002801965,0.0064182,-0.001273466,-0.000740501,0.001901701,-0.015484095,0.04215818,0.008427613,0.006017595,0.001089086,-0.005729472,-0.000456691,-0.008610542,0.002662426,-0.02713444,0.01066543,-0.001710633,0.003582651,-0.000383182,0.003473088,0.000649468,-0.009801809,-6.17E-05,0.002829969,0.011532337,0.010494783,0.001056007,0.020368911,-0.001194893,0.011406115,-0.005253045,-0.003174636,0.068945624,-0.007431105,-0.03214615,-0.031297512,0.003462758,-0.017578404,0.009113424,0.000132545,0.015249115
26,-0.003243421,-0.001422649,-0.009172685,0.006234251,0.005958546,-0.001369159,0.000911543,-0.007812482,0.004791459,0.002680198,0.015224593,-0.005729472,0.000808339,-0.000758904,0.002019962,-0.013379422,-0.014535236,-0.003704742,-0.00736701,-0.000454293,0.009033227,-0.002737949,-0.013233587,-0.006227529,-0.005042739,-0.00676468,0.011393842,-0.000383631,-0.007179437,0.004073434,-4.42E-06,0.028760266,-0.001727228,0.01216931,-5.60E-05,-0.017731579,0.023120439,0.001420744,0.002519422,-0.006977053,-0.006202488,0.02228663
27,-0.003243421,-0.001481856,0.008393937,-0.001208932,0.006586,-0.001772501,-0.013045083,0.043337494,0.007929581,-0.004343779,-0.005270337,-0.005729472,-0.000456691,-0.002316085,-0.009512783,-0.005516065,-0.002559891,-0.008351865,0.0014374,-1.80E-05,-0.010868969,0.009404663,0.001648226,-0.006281797,0.00890848,0.008015316,0.008342571,-0.000631361,0.015745372,0.007919579,-0.002736622,0.005018071,-0.007562452,0.058561794,0.012908947,0.004640802,-0.016551074,0.001757439,-0.01014156,-0.04644094,-0.003491964,0.024656339
28,-0.003243421,-0.002801965,0.010428389,5.3607e-05,-0.007916702,0.001498358,-0.003446524,0.004149946,0.008365492,-0.002560577,0.003045307,-0.005729472,0.000808339,0.001723689,-0.007589139,-0.00793981,-0.008369654,-0.013158263,0.001740672,5.315644e-05,-0.001759082,-0.005156943,0.012898448,0.001008482,-0.007054918,-0.000465849,0.00945526,0.002877875,-0.018346488,0.000236487,-0.012244777,0.000517399,-0.005702841,0.06525971,0.00343141,-0.049200524,0.00854045,-0.000787064,-0.006096487,-0.04865855,-0.004805889,-0.03372781
29,-0.003243421,-0.001422649,0.005710541,-0.10658106,-0.003731208,0.001901701,0.011528127,0.000652234,0.002491491,-0.002595651,-0.001742141,-0.005729472,-0.000456691,-0.003082419,-3.58E-05,0.00160708,-0.040591095,-0.017694179,-0.000447531,5.315644e-05,0.004808813,0.000229679,0.003637342,0.00146068,-0.007957899,0.007766122,0.01422202,-0.002418001,0.027253948,0.018430864,-0.012471971,0.011605944,-0.001224893,0.09569559,-0.000827766,0.12027963,-0.007926249,-0.009360709,-0.003354567,0.000590881,0.000384413,-0.040443048
30,-0.003243421,-0.001481856,0.003850229,0.045211047,-0.006915513,-0.001369159,-0.000152376,-0.00927575,0.009751314,0.000739469,0.008881633,-0.005729472,0.000808339,-0.010697464,-0.002239231,-0.023596082,-0.023879176,-0.010408182,-0.007695775,-0.000383182,-0.008765105,-0.002514555,-0.010554068,-0.004359125,-0.005479079,-0.005653959,0.007003341,-9.68E-05,0.049843524,0.003192749,-0.002278708,-0.005127707,0.005396067,0.0394609,0.002174418,-0.042802215,0.017272903,-0.004084108,0.009666147,0.020597832,0.001524283,-0.001358733
31,-0.003243421,-0.002801965,0.000687959,-0.03801331,0.001953354,-0.001772501,-0.006771962,0.04388567,0.002682352,0.0054878,-0.004815626,-0.005729472,-0.000456691,-0.002368789,0.00107245,-0.011502485,-0.040591095,-0.000954718,-0.004934022,-0.000454293,0.015042531,-0.007264913,0.006613311,-0.006725618,0.003321183,-0.001296495,0.013528801,0.001960139,0.011536174,0.00784502,-0.011443723,0.016369322,-0.006782468,0.049596917,0.00226192,-0.015929563,-0.027261537,0.005375746,0.006483737,-0.009780422,-0.000708351,-0.004278489
32,-0.003243421,-0.001422649,-0.002631544,0.038776837,0.025123795,0.001498358,0.006076326,-0.022075588,-0.002055724,0.005640455,0.004249093,-0.005729472,0.000808339,-0.001274827,0.005228874,-0.012871408,-0.029962927,-0.008543376,0.006308723,-1.80E-05,-0.000121241,-0.007023214,-0.000889416,0.000251104,-0.005489211,0.011052227,0.00725629,-0.000361025,-0.029677529,-0.009561939,-0.03194795,0.001093428,0.001669809,0.025842983,0.007933319,-0.04667934,-0.002482579,0.003123796,0.000248804,-0.005042672,-0.003438809,-0.013000085
33,-0.003243421,-0.001481856,-0.005466355,0.025186785,-0.007201061,0.001901701,0.003553029,0.050586935,0.003555886,-0.00240549,0.001946619,-0.005729472,-0.000456691,-0.004704244,-0.004403946,-0.02544166,-0.037631962,-0.009569603,-0.005454884,5.315644e-05,-0.011432628,0.004964907,0.000714625,0.001005705,-0.005275567,-0.013811555,0.022801252,-9.68E-05,0.001852749,0.028424883,0.002894489,-6.21E-06,0.005206175,0.026097236,-0.000725374,-0.030545821,0.001412918,0.005484215,-0.008794418,-0.000140429,-0.007858407,0.04283692
34,-0.003243421,-0.002801965,0.004602501,-0.07732086,-0.001720519,-0.001369159,-0.004295622,0.005318344,0.004493997,-0.005006973,0.007498249,-0.005729472,0.000808339,-0.009854626,0.001992094,0.036101095,-0.029962927,0.010868679,-0.002957416,5.315644e-05,-0.001126797,0.004217527,0.000711247,-0.007991692,0.010512764,0.009556427,0.02202107,0.001960139,0.050991908,-0.001594918,-0.011037854,0.01487078,0.003826888,0.032525554,-0.004703484,0.002550962,0.010604131,-0.001650749,-0.004084447,0.0156597,0.001134781,0.032354742
35,-0.003243421,-0.001422649,0.009628152,-0.014260073,-0.01542162,-0.001772501,0.018595302,0.002756986,0.004585029,-0.000694399,0.000221791,-0.005729472,-0.000456691,-0.006095086,0.002559786,0.01940218,-0.02130763,0.001660904,0.00281426,-0.000383182,0.016218292,-0.006231808,0.013534664,0.004098362,-0.002834407,-0.010167887,0.022887027,-0.000361025,0.014556989,-0.001458547,-0.001637463,0.001225404,0.000268514,0.01939083,0.004051482,-0.03630236,0.006807578,-0.001318467,0.040610034,-0.025606927,-0.013825282,0.006850776
36,-0.003243421,-0.001481856,-0.001034806,-0.00844061,0.005605916,0.001498358,-0.006856331,-0.003868742,-0.000300863,-0.000638116,-0.008272555,-0.005729472,0.000808339,-0.005868692,-0.002593855,-0.017945321,-0.02346829,0.005113337,-0.004928196,-0.000454293,-0.000622996,0.004714491,0.001276882,0.000883367,-0.012158667,0.0250588,0.03318693,-9.68E-05,0.020614775,-0.028708665,0.050295696,0.003649426,0.010575526,0.041243695,0.016134858,0.012169092,0.01530566,-0.002231998,0.004788039,0.008992322,-0.006224889,0.00404566
